"","PROBEID","t","p","p_adj","SYMBOL"
"3340","204457_s_at",22.6986939385747,1.27074328277958e-45,2.25163002275714e-41,"GAS1"
"4663","207266_x_at",22.6619746879302,2.50276316603976e-47,4.43539688285565e-43,"RBMS1"
"8865","218694_at",21.8643900446519,9.68888070863314e-44,1.71638521753436e-39,"ARMCX1"
"10664","223122_s_at",21.6521207760909,2.94246016663741e-45,5.21345092324817e-41,"SFRP2"
"12625","226930_at",21.6038842738495,1.21525309196928e-44,2.15306390304197e-40,"FNDC1"
"7198","213413_at",21.3563467844502,5.8617034255028e-41,1.03763874038251e-36,"STON1"
"2093","202363_at",21.2289544746622,1.56503708300851e-43,2.77215018513297e-39,"SPOCK1"
"2059","202291_s_at",21.0465841339096,1.24760549328518e-43,2.21000837080536e-39,"MGP"
"8417","217764_s_at",21.0310186302032,5.9194658919301e-44,1.04869257741434e-39,"RAB31"
"11559","225242_s_at",20.8084930596048,3.15792051972089e-42,5.5926772404257e-38,"CCDC80"
